Chat,Time,ID,Text
1,122167512.5,Not,you ready to set this shit up? get on IM or call my cell
1,122167513.2,Not,"Your IM has been sent to my mobile device. When I receive it, I will be able to reply. Thanks for your IM! Want your IMs forwarded to your phone? Click here"
2,122174879.7,Not,yo... let's play numbnutz'
2,122174879.9,Not,"Your IM has been sent to my mobile device. When I receive it, I will be able to reply. Thanks for your IM! Want your IMs forwarded to your phone? Click here"
2,122174887.8,Not,get wu's station working'
3,124137040,Edgwired,call me back at the house. no phone card.
4,114829118.9,Not,hey
4,114829122.6,Edgwired,yo
4,114829137.9,Not,can try file transfer here
4,114829146.9,Edgwired,"yeah, i'm looking for the right song'"
4,114829147.8,Edgwired,ha
4,114829177,Not,"I used to have thousands on my computer, but now only have porns"
4,114829187.9,Edgwired,oh yeah?
4,114829191,Edgwired,what kind of porn?
4,114829194.4,Not,"ahaha, gay"
4,114829208.1,Not,seancody.com
4,114829209.9,Edgwired,i keep a few but i rotate them out
4,114829213,Edgwired,oh yeah
4,114829214.8,Edgwired,those are hot
4,114829221.2,Not,I like them
4,114829239.9,Edgwired,they're like long and straight up'
4,114829241.2,Edgwired,no plot
4,114829242.9,Edgwired,just fucking
4,114829264.2,Not,"ahahah, yup, no fillers"
4,114829332.7,Edgwired,are you going out tonight?
4,114829381.3,Not,"ya, I think so. you?"
4,114829409.7,Edgwired,don't think so... a friend kicked me yesterday and really fucked up my ankle'
4,114829430.1,Not,"yikes, some friend eh?"
4,114829439.5,Not,why did he kick you?
4,114829442.5,Edgwired,we were being stupid
4,114829485.6,Not,"hahah, ok"
4,114829492.6,Edgwired,have you got any Raja Ram?
4,114829498.7,Edgwired,I kind of want to send you this whole album
4,114829506.5,Not,"send me one song ;,)"
4,114829515.3,Edgwired,but which one!
4,114829518.6,Edgwired,LO
4,114829519.3,Edgwired,L
4,114829522.2,Edgwired,so tough to choose
4,114829542.6,Not,"come over and show me the whole album then ;,)"
4,114829568,Edgwired,sounds good to me
4,114829606.8,Not,you serious?
4,114829615.7,Edgwired,"sure, are you?"
4,114829622.2,Edgwired,i've got a powerbook'
4,114829625.3,Edgwired,music is portable
4,114829627.4,Edgwired,plus
4,114829627.4,Not,cool
4,114829630,Edgwired,cool to hang out
4,114829634.3,Not,"ya,"
4,114829640.3,Not,1005 spruce 1R
4,114829644.3,Edgwired,k
4,114829649.2,Edgwired,i'll put some clothes on'
4,114829652.4,Edgwired,My name is Mikee
4,114829666.3,Not,Jun-wei
4,114829675.9,Not,call me Jay if you want to
4,114829688.6,Edgwired,"mmm, i life Jun-wei"
4,114829691.1,Edgwired,like
4,114829693.2,Not,k
4,114829709.9,Edgwired,give me like 20-30
4,114829719.2,Not,ok
4,114829725.1,Not,"that long eh? ;,)"
4,114829729.6,Not,you are only 5 blocks
4,114829747.3,Edgwired,maybe 10
4,114829756.4,Edgwired,need to dig out clothes
4,114829777.3,Not,"hahaha, you are like utterly naked and wacking on the net? ;,)"
4,114829830.3,Edgwired,"well, you did send me those pics"
4,114829837.8,Edgwired,":,)"
4,114829845,Not,"bigmuscle? those are nothing ;,)"
4,114829876.8,Edgwired,well maybe you can show me more here in about 10 minutes
4,114829878.3,Edgwired,actually
4,114829880,Edgwired,i'm dressed'
4,114829884.7,Edgwired,on my way
4,114829890.5,Not,k
4,114829950.1,Edgwired,looking for my key..
4,114829965.8,Not,"ahahha, that is just like me"
4,114829987.2,Edgwired,dig it
4,114829988.4,Edgwired,found it
4,114829989.3,Edgwired,ok
4,114829990.4,Edgwired,i'm out'
5,124136970.1,Edgwired,call me back at the house. no phone card
6,107053206,Edgwired,what's up'
6,107053219.8,Not,mike?
6,107053223.2,Edgwired,yup
6,107053235.8,Not,i m aaron btw
6,107053243.3,Edgwired,a pleasure Aaron
6,107053324.8,Not,well...u don't know that yet'
6,107053330.3,Not,lol
6,107053333,Edgwired,oh no?
6,107053343.1,Edgwired,when do i get to find out?
6,107053398.4,Not,if ur good
6,107053403.5,Not,or should i say bad
6,107053404.3,Not,lol
6,107053414,Edgwired,"hmmm, which do you like better?"
6,107053422.1,Edgwired,i'm talented at both'
6,107053532.8,Not,lol
6,107053542.4,Not,depends on my mood i guess
6,107053545.2,Not,i have my days
6,107053568.5,Edgwired,"sometimes i like to bite, and sometimes i like to lick"
6,107053624,Edgwired,depends on the weather i guess
6,107053712.8,Not,i bite
6,107053716.4,Edgwired,no shit
6,107053724.3,Not,when i m really into it
6,107053726,Not,its hot
6,107053727.6,Edgwired,i haven't run across another yet'
6,107053730.4,Edgwired,yeah
6,107053734.9,Edgwired,the hotter the better
6,107053744.8,Edgwired,i love it when i work up a sweat
6,107053768.2,Not,oh don't work u will sweat if we ever get together'
6,107053774.2,Not,:-P
6,107053782.8,Edgwired,haha
6,107053823.2,Edgwired,i'll keep it in mind'
6,107053844,Edgwired,you have a webcam?
6,107053875.1,Not,nothing i have is working
6,107053902.7,Not,i spilled coke over my shit
6,107053906.6,Not,the last time
6,107053912.7,Edgwired,lol
6,107053915.5,Edgwired,"""dammit"""
