i 'm,1702
it 's,954
do n't,952
going to,947
that 's,886
" ",785
? ",736
in the,689
i think,643
? i,588
" i,550
are you,526
i 'll,514
i have,510
have to,503
i do,497
to be,496
want to,477
do you,476
, i,443
what 's,443
of the,440
http :,439
on the,431
i was,387
if you,362
to get,362
you 're,352
and i,349
but i,346
he 's,334
for the,329
did you,327
to the,327
! !,316
did n't,316
to do,309
you have,304
have a,296
for a,292
it was,291
i 've,290
's a,285
I am,284
it is,280
i know,276
ca n't,273
i just,269
" yeah,259
you ?,256
i want,249
'm going,245
? yes,245
at the,244
think i,243
i can,242
need to,236
's up,233
? no,232
, but,229
to go,229
i am,228
in a,228
I 'm,224
you know,222
up with,219
with you,215
? yeah,214
if i,214
that i,214
: ),213
up to,212
what i,209
gon na,208
to see,208
with the,208
you are,207
yeah ,,206
you can,205
it ?,201
's the,193
? ?,191
out of,191
so i,191
about it,190
" and,184
does n't,184
is the,181
, and,179
you want,179
and I,178
i got,178
yeah i,177
a lot,176
n't know,176
she 's,176
what you,176
when i,176
i did,175
'm not,173
talk to,173
" I,163
would be,163
and the,162
's not,161
and then,160
what are,160
is that,159
to have,159
? yup,158
to you,157
i like,156
is a,154
right now,154
there 's,154
a good,153
go to,153
i need,153
last night,152
n't think,152
i would,150
it ",150
a little,149
do it,149
on my,149
trying to,149
all the,148
i had,148
ok i,148
? I,146
you get,146
will be,144
" well,143
n't have,143
well ,,143
that is,142
but I,140
in my,140
know what,140
this is,139
like a,138
yeah ?,138
i 'd,137
i guess,137
think it,137
to make,137
: -,136
to work,135
: D,134
have n't,134
we 're,134
to come,132
to me,132
you do,132
i love,131
on a,131
the other,131
I have,130
at least,130
for you,130
i could,130
is it,129
I do,128
oh yeah,128
get a,127
it i,125
a few,123
have you,123
is n't,123
they 're,123
the same,120
me to,119
should be,119
with a,119
" you,118
and it,118
for me,117
n't want,117
of it,117
'll be,116
i will,116
you think,116
of a,114
right ?,114
I was,113
but it,113
i thought,113
that was,113
" ok,112
, it,112
from the,110
's what,109
? not,109
be a,109
it to,109
" oh,108
: P,108
I think,108
wan na,108
was a,108
what ?,108
when you,108
with it,108
; ),107
how are,107
" but,106
he was,106
wanted to,106
: F,105
like the,105
have the,104
of my,104
the way,104
've been,103
got ta,103
love you,103
that you,103
about the,102
, you,101
- ),101
: (,101
? !,101
one of,101
you need,101
" so,100
? what,100
I 'll,100
lot of,99
you could,99
" it,98
kind of,98
you up,98
, I,97
we can,97
went to,97
? it,96
and a,96
i mean,96
like that,96
the first,96
what is,96
you were,96
" that,95
all of,95
and you,94
i get,94
they are,94
to take,94
a bit,93
get it,93
if it,93
it would,93
" if,92
, ",92
? the,92
a while,92
i really,92
the office,92
we 'll,92
had to,91
like to,91
had a,90
let me,90
well i,90
how to,89
i ca,89
it out,89
up ?,89
that ?,87
the one,87
" the,86
like it,86
too much,86
's going,85
? nah,85
the time,85
we have,85
and he,84
it will,84
the only,84
was the,84
to ?,83
to a,83
wo n't,83
" no,82
? you,82
it up,82
I know,81
how much,81
see you,81
to say,81
you like,81
by the,80
n't get,80
see what,80
you too,80
! i,79
'm gon,79
at all,79
feel like,79
now i,79
so much,79
" what,78
've got,78
got to,78
ha i,78
he is,78
i see,78
is going,78
me know,78
not much,78
or something,78
so you,78
they have,78
to find,78
was n't,78
what the,78
it and,77
you going,77
're going,76
got a,76
back to,75
there are,75
how was,74
the city,74
then i,74
have been,73
i dunno,73
it in,73
know i,73
that the,73
to move,73
to talk,73
what do,73
you and,73
! :,72
? :,72
to my,72
you later,72
i dont,71
looking for,71
we are,71
? and,70
? just,70
it on,70
see if,70
so what,70
that it,70
think that,70
think you,70
with my,70
you to,70
just got,69
sounds like,69
with me,69
" ha,68
? nope,68
I will,68
be in,68
get the,68
on it,68
supposed to,68
would n't,68
yes i,68
for my,67
got it,67
to know,67
! ?,66
come over,66
do i,66
get to,66
me and,66
n't even,66
now ?,66
a new,65
and that,65
end of,65
of them,65
right i,65
